Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,ASSET #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
2004 Ford F-550,91820,OFM-WATER SERVICES,12/10/2015,$1725.00,$39.68,0.23,$396.75,$396.75,Successful,12/10/2015,80001019,,31A 4409,,3659290633,$3000,$0.00,$1328.25,Enterprise,0
2009 Chevrolet Impala,91828,OFM-POLICE,12/10/2015,$520.00,$11.96,0.23,$119.60,$119.60,Successful,12/11/2015,80013788,,1940 JI,,3659378796,$3000,$0.00,$400.40,Enterprise,0
2004 Ford F-550,91833,OFM-WATER SERVICES,12/10/2015,$1282.00,$29.49,0.23,$294.86,$294.86,Successful,12/10/2015,80001018,,31A 4408,,3659291155,$3000,$0.00,$987.14,Enterprise,0
2006 Chevrolet Impala,91834,OFM-POLICE,12/10/2015,$485.99,$0.00,0.23,$111.77,$111.77,Successful,12/10/2015,80004017,,1181 JF,,Money Order,$3000,$0.00,$374.21,Enterprise,0
1995 Ford F-700 Tanker Truck,91835,OFM-PARKS,12/10/2015,$2651.01,$0.00,0.23,$609.73,$609.73,Successful,12/15/2015,210837,,29 4934,,Cashiers Check,$3000,$0.00,$2041.27,Enterprise,0
1995 Ingersoll-Rand Roller,91836,OFM-PUBLIC WORKS,12/10/2015,$2825.00,$64.98,0.23,$649.75,$649.75,Successful,12/12/2015,211926,,08L 5760,,3659445936,$3000,$0.00,$2175.25,Enterprise,0
2005 John Deere Walk Behind Mower,91837,OFM-PARKS,12/10/2015,$100.14,$2.29,0.23,$23.03,$23.03,Successful,12/14/2015,500279,,PKS 004,,3659519996,$3000,$0.00,$77.10,Enterprise,0
1996 12' Flatbed Trailer,91838,OFM-WATER SERVICES,12/10/2015,$900.01,$20.70,0.23,$207.00,$207.00,Successful,12/12/2015,2137840,,30C 5138,,3659446162,$3000,$0.00,$693.00,Enterprise,0
10ft Enclosed Trailer,91839,DRUG TASK FORCE,12/10/2015,$1500.01,$0.00,0.23,$345.00,$345.00,Successful,12/16/2015,,TF-331-063,TF-331-063,100259,Cashiers Check,$3000,$135.00,$1020.00,Enterprise,0
'Gucci' Sunglasses,91776,DRUG TASK FORCE,12/09/2015,$183.99,$0.00,0.23,$42.31,$42.31,Successful,12/15/2015,,TF-331-016,,,Money Order,$3000,$0.00,$141.67,Enterprise,0
Chalk Board,91747,SURPLUS WAREHOUSE,12/09/2015,$38.00,$0.87,0.23,$8.74,$8.74,Successful,12/09/2015,,101078,,,3659186381,$3000,$0.00,$29.25,Enterprise,0
Seca Height Chart,91746,SURPLUS WAREHOUSE,12/09/2015,$2.00,$0.05,0.23,$0.46,$0.46,Successful,12/14/2015,,101079,,,3659489388,$3000,$0.00,$1.54,Enterprise,0
Steamer,91725,SCHOOL BOARD FOOD SERVICE,12/08/2015,$410.00,$9.43,0.23,$94.30,$94.30,Successful,12/15/2015,it387728,FSBS-0065,,,3659590466,$3000,$0.00,$315.70,Enterprise,0
Chiller,91724,SCHOOL BOARD FOOD SERVICE,12/08/2015,$924.00,$0.00,0.23,$212.52,$212.52,Successful,12/22/2015,it219797,FSBS-0063,,,Cashiers Check,$3000,$0.00,$711.48,Enterprise,0
Chiller,91723,SCHOOL BOARD FOOD SERVICE,12/08/2015,$924.00,$0.00,0.23,$212.52,$212.52,Successful,12/22/2015,it387722,FSBS-0066,,,Cashiers Check,$3000,$0.00,$711.48,Enterprise,0
Hobart Mixer,91739,SCHOOL BOARD FOOD SERVICE,12/08/2015,$400.00,$0.00,0.23,$92.00,$92.00,Successful,12/08/2015,it387634,FSBS-0061,,,Cashiers Check,$3000,$0.00,$308.00,Enterprise,0
Large Tent,91745,WATER SERVICES,12/08/2015,$542.00,$12.47,0.23,$124.66,$124.66,Successful,12/08/2015,,WS-101088,,,3659114645,$3000,$0.00,$417.34,Enterprise,0
Men's 'Rolex' Diamond Watch,91743,DRUG TASK FORCE,12/08/2015,$1734.00,$0.00,0.23,$398.82,$398.82,Successful,12/08/2015,,TF-330-091,,,Money Order,$3000,$0.00,$1335.18,Enterprise,0
2 Televisions,91741,SCHOOL BOARD WAREHOUSE,12/08/2015,$30.00,$0.69,0.23,$6.90,$6.90,Successful,12/16/2015,it102661,"SBS-7645, SBS-7634",,,3659655196,$3000,$0.00,$23.10,Enterprise,0
Dryer,91740,SCHOOL BOARD WAREHOUSE,12/08/2015,$43.00,$0.99,0.23,$9.89,$9.89,Successful,12/15/2015,,SBS-7649,,,3659587950,$3000,$0.00,$33.11,Enterprise,0
Keyboard,91738,SCHOOL BOARD WAREHOUSE,12/08/2015,$52.00,$0.00,0.23,$11.96,$11.96,Successful,12/09/2015,it150006,SBS-7671C,,,Cashiers Check,$3000,$0.00,$40.04,Enterprise,0
Tire,91735,SCHOOL BOARD WAREHOUSE,12/08/2015,$6.00,$0.14,0.23,$1.38,$1.38,Successful,12/09/2015,,SBS-7667B,,,3659208704,$3000,$0.00,$4.62,Enterprise,0
Laptop Cart,91733,SCHOOL BOARD WAREHOUSE,12/08/2015,$32.00,$0.74,0.23,$7.36,$7.36,Successful,12/09/2015,229426,SBS-7665,,,3659189588,$3000,$0.00,$24.64,Enterprise,0
Laptop Cart,91732,SCHOOL BOARD WAREHOUSE,12/08/2015,$11.50,$0.26,0.23,$2.64,$2.64,Successful,12/14/2015,,SBS-7668F,,,3659499890,$3000,$0.00,$8.85,Enterprise,0
Laptop Cart,91731,SCHOOL BOARD WAREHOUSE,12/08/2015,$13.25,$0.30,0.23,$3.04,$3.04,Successful,12/09/2015,it024539,SBS-7668E,,,3659189580,$3000,$0.00,$10.20,Enterprise,0
Laptop Cart,91730,SCHOOL BOARD WAREHOUSE,12/08/2015,$11.00,$0.25,0.23,$2.53,$2.53,Successful,12/14/2015,,SBS-7668D,,,3659489385,$3000,$0.00,$8.46,Enterprise,0
Laptop Cart,91728,SCHOOL BOARD WAREHOUSE,12/08/2015,$10.22,$0.24,0.23,$2.35,$2.35,Successful,12/09/2015,,SBS-7668B,,,3659187008,$3000,$0.00,$7.86,Enterprise,0
Laptop Cart,91729,SCHOOL BOARD WAREHOUSE,12/08/2015,$10.50,$0.24,0.23,$2.41,$2.41,Successful,12/14/2015,,SBS-7668C,,,3659489382,$3000,$0.00,$8.08,Enterprise,0
Laptop Cart,91727,SCHOOL BOARD WAREHOUSE,12/08/2015,$10.23,$0.24,0.23,$2.35,$2.35,Successful,12/14/2015,,SBS-7668A,,,3659489381,$3000,$0.00,$7.87,Enterprise,0
Steamer,91726,SCHOOL BOARD FOOD SERVICE,12/08/2015,$138.00,$3.17,0.23,$31.74,$31.74,Successful,12/15/2015,it387727,FSBS-0064,,,3659590472,$3000,$0.00,$106.25,Enterprise,0
2 Michelin Motorcycle Tires,91720,DRUG TASK FORCE,12/07/2015,$148.00,$0.00,0.23,$34.04,$34.04,Successful,12/08/2015,,TF-329-067C,,,Cashiers Check,$3000,$0.00,$113.96,Enterprise,0
2 Michelin Motorcycle Tires,91719,DRUG TASK FORCE,12/07/2015,$239.00,$5.50,0.23,$54.97,$54.97,Successful,12/14/2015,,TF-329-067B,,,3659498602,$3000,$0.00,$184.03,Enterprise,0
2 Michelin Motorcycle Tires,91718,DRUG TASK FORCE,12/07/2015,$175.00,$0.00,0.23,$40.25,$40.25,Successful,12/08/2015,,TF-329-067A,,,Cashiers Check,$3000,$0.00,$134.75,Enterprise,0
Kobalt Tool Box,91717,DRUG TASK FORCE,12/07/2015,$361.00,$8.30,0.23,$83.03,$83.03,Successful,12/14/2015,,TF-329-081A,,,3659489837,$3000,$0.00,$277.97,Enterprise,0
"2 ""SV Racing Parts"" Motorcycle Stands",91716,DRUG TASK FORCE,12/07/2015,$111.51,$2.56,0.23,$25.64,$25.64,Successful,12/16/2015,,TF-329-037A,,,3659636654,$3000,$0.00,$85.86,Enterprise,0
