Month,Year,Zip Code,Customer Type,Monthly KWH Used
8,2015,"37080
(36.331509, -86.915843)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,287111
8,2015,"37066
(36.387698, -86.459057)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,68776
8,2015,"37218
(36.210699, -86.866798)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,4726591
8,2015,"37075
(36.323052, -86.60557)",COMCOMM > 50 KW                                                  ,9283580
8,2015,"37212
(36.133256, -86.801456)",SEASEAS > 50 KW                                                  ,0
8,2015,"37204
(36.109305, -86.776748)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,2757036
8,2015,"37212
(36.133256, -86.801456)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,1264719
8,2015,"37219
(36.167467, -86.783669)",COMCOMM > 50 KW                                                  ,6498840
8,2015,"37228
(36.193837, -86.803025)",COMCOMM > 50 KW                                                  ,6129815
8,2015,"37208
(36.176427, -86.805176)",OLMOLB METERED                                                   ,21281
8,2015,"37217
(36.106646, -86.667608)",COMCOMM > 50 KW                                                  ,5352523
8,2015,"37080
(36.331509, -86.915843)",OLMOLB METERED                                                   ,2400
8,2015,"37228
(36.193837, -86.803025)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,263936
8,2015,"37204
(36.109305, -86.776748)",COMCOMM > 50 KW                                                  ,6517747
8,2015,"37218
(36.210699, -86.866798)",COMCOMM > 50 KW                                                  ,3307120
8,2015,"37205
(36.112469, -86.867263)",OLMOLB METERED                                                   ,1200
8,2015,"37152
(36.396526, -86.765833)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,25897
8,2015,"37204
(36.109305, -86.776748)",OLMOLB METERED                                                   ,896
8,2015,"37211
(36.069132, -86.724578)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,7474936
8,2015,"37086
(36.014912, -86.5643)",OLMOLB METERED                                                   ,8742
8,2015,"37229
(36.166687, -86.779932)",COMCOMM > 50 KW                                                  ,347700
8,2015,"37086
(36.014912, -86.5643)",SEASEAS =< 50 KW                                                 ,0
8,2015,"37203
(36.150195, -86.790206)",OLMOLB METERED                                                   ,1760
8,2015,"37206
(36.18095, -86.739624)",OLMOLB METERED                                                   ,2303
8,2015,"37212
(36.133256, -86.801456)",OLMOLB METERED                                                   ,41654
8,2015,"37216
(36.216134, -86.726204)",OLMOLB METERED                                                   ,1480
8,2015,"37115
(36.262567, -86.704171)",COMCOMM > 50 KW                                                  ,10573874
8,2015,"37206
(36.18095, -86.739624)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,3840508
8,2015,"37076
(36.175185, -86.5933)",COMCOMM > 50 KW                                                  ,6287147
8,2015,"37066
(36.387698, -86.459057)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,669084
8,2015,"37015
(36.29003, -87.070106)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,67230
8,2015,"37214
(36.168995, -86.667231)",RESRESIDENTIAL                SRSRESID. SUPPL.                   ,5472095
8,2015,"37201
(36.164553, -86.776977)",COMCOMM =< 50 KW              COMCOMM 3-PHASE                    ,246523
